ticket_id,zone,category,priority,opened_on,closed_on,estimated_hours,summary
T-00001,North,Comfort,Normal,2026-02-22,2026-02-24,4,"Investigate room conditions - synthetic ticket 1; location label ""A, B""
Follow-up requested; <em>inspection only</em>"
T-00002,North,Technology,Normal,2026-02-23,2026-03-09,16,Check a shared classroom device - synthetic ticket 2
T-00003,North,Comfort,Low,2026-02-17,,8,Investigate room conditions - synthetic ticket 3
T-00004,North,Comfort,Normal,2026-03-16,2026-03-26,16,Investigate room conditions - synthetic ticket 4
T-00005,North,Comfort,Low,2026-02-18,,16,Investigate room conditions - synthetic ticket 5
T-00006,North,Comfort,Low,2026-03-17,2026-03-25,16,Investigate room conditions - synthetic ticket 6
T-00007,North,Comfort,Low,2026-02-24,,16,Investigate room conditions - synthetic ticket 7
T-00008,North,Technology,Low,2026-03-28,,1,Check a shared classroom device - synthetic ticket 8
T-00009,North,Technology,Low,2026-02-25,,8,Check a shared classroom device - synthetic ticket 9
T-00010,North,Comfort,Low,2026-03-01,,16,Investigate room conditions - synthetic ticket 10
T-00011,North,Technology,Normal,2026-03-01,,4,Check a shared classroom device - synthetic ticket 11
T-00012,North,Comfort,Normal,2026-03-09,,,Investigate room conditions - synthetic ticket 12
T-00013,North,Comfort,Low,2026-03-24,2026-04-01,4,Investigate room conditions - synthetic ticket 13
T-00014,North,Technology,Low,2026-03-22,,0,Check a shared classroom device - synthetic ticket 14
T-00015,North,Access,Normal,2026-02-18,,0.5,Inspect an entrance or lift - synthetic ticket 15
T-00016,North,Technology,High,2026-03-18,,0.5,Check a shared classroom device - synthetic ticket 16
T-00017,North,Technology,Low,2026-03-03,2026-03-17,4,Check a shared classroom device - synthetic ticket 17
T-00018,North,Technology,High,2026-02-27,,0.5,"Check a shared classroom device - synthetic ticket 18; location label ""A, B"""
T-00019,North,Comfort,Normal,2026-03-12,,1,Investigate room conditions - synthetic ticket 19
T-00020,North,Technology,Normal,2026-03-05,2026-03-16,4,Check a shared classroom device - synthetic ticket 20
T-00021,North,Technology,Low,2026-03-21,2026-03-25,,Check a shared classroom device - synthetic ticket 21
T-00022,North,Comfort,Low,2026-02-15,,16,Investigate room conditions - synthetic ticket 22
T-00023,North,Comfort,Normal,2026-02-15,2026-02-17,0,Investigate room conditions - synthetic ticket 23
T-00024,North,Comfort,Low,2026-03-23,2026-03-31,8,Investigate room conditions - synthetic ticket 24
T-00025,North,Access,Low,2026-03-24,,1,Inspect an entrance or lift - synthetic ticket 25
T-00026,North,Comfort,Low,2026-03-29,,0.5,Investigate room conditions - synthetic ticket 26
T-00027,North,Technology,Low,2026-02-19,,1,Check a shared classroom device - synthetic ticket 27
T-00028,North,Comfort,Normal,2026-03-26,,0.5,Investigate room conditions - synthetic ticket 28
T-00029,North,Technology,Low,2026-02-22,,4,Check a shared classroom device - synthetic ticket 29
T-00030,North,Comfort,Low,2026-02-16,,16,Investigate room conditions - synthetic ticket 30
T-00031,North,Comfort,Low,2026-03-12,,8,Investigate room conditions - synthetic ticket 31
T-00032,North,Technology,Low,2026-03-20,2026-03-31,4,Check a shared classroom device - synthetic ticket 32
T-00033,North,Technology,Low,2026-03-19,2026-03-31,,Check a shared classroom device - synthetic ticket 33
T-00034,North,Technology,Low,2026-03-07,,16,Check a shared classroom device - synthetic ticket 34
T-00035,North,Access,Low,2026-02-17,2026-02-21,0,"Inspect an entrance or lift - synthetic ticket 35; location label ""A, B"""
T-00036,North,Comfort,Low,2026-03-06,2026-03-07,8,Investigate room conditions - synthetic ticket 36
T-00037,North,Access,High,2026-03-25,,4,Inspect an entrance or lift - synthetic ticket 37
T-00038,North,Access,Normal,2026-02-15,2026-03-01,8,"Inspect an entrance or lift - synthetic ticket 38
Follow-up requested"
T-00039,North,Access,Normal,2026-03-05,,8,Inspect an entrance or lift - synthetic ticket 39
T-00040,North,Technology,Low,2026-02-19,,4,Check a shared classroom device - synthetic ticket 40
T-00041,North,Comfort,Low,2026-03-27,,2,Investigate room conditions - synthetic ticket 41
T-00042,North,Technology,Low,2026-02-20,,16,Check a shared classroom device - synthetic ticket 42
T-00043,North,Comfort,Low,2026-03-09,,8,Investigate room conditions - synthetic ticket 43
T-00044,North,Technology,Low,2026-03-18,,2,Check a shared classroom device - synthetic ticket 44
T-00045,North,Comfort,High,2026-03-25,,0.5,Investigate room conditions - synthetic ticket 45
T-00046,North,Access,Low,2026-03-17,2026-03-18,8,Inspect an entrance or lift - synthetic ticket 46
T-00047,North,Comfort,Low,2026-03-23,2026-04-01,4,Investigate room conditions - synthetic ticket 47
T-00048,North,Technology,High,2026-03-16,,2,Check a shared classroom device - synthetic ticket 48
T-00049,North,Comfort,Low,2026-03-25,2026-03-28,4,Investigate room conditions - synthetic ticket 49
T-00050,North,Comfort,Low,2026-02-28,,,Investigate room conditions - synthetic ticket 50
T-00051,North,Comfort,Low,2026-03-09,2026-03-11,4,Investigate room conditions - synthetic ticket 51
T-00052,North,Comfort,Low,2026-03-20,2026-03-30,16,"Investigate room conditions - synthetic ticket 52; location label ""A, B"""
T-00053,North,Access,Low,2026-03-08,2026-03-22,2,Inspect an entrance or lift - synthetic ticket 53
T-00054,North,Technology,Low,2026-02-21,,1,Check a shared classroom device - synthetic ticket 54
T-00055,North,Technology,High,2026-03-26,,0.5,Check a shared classroom device - synthetic ticket 55
T-00056,North,Access,Low,2026-02-26,2026-03-10,16,Inspect an entrance or lift - synthetic ticket 56
T-00057,North,Technology,Low,2026-03-09,,4,Check a shared classroom device - synthetic ticket 57
T-00058,North,Comfort,Low,2026-02-26,,1,Investigate room conditions - synthetic ticket 58
T-00059,North,Comfort,Low,2026-02-20,,0,Investigate room conditions - synthetic ticket 59
T-00060,North,Comfort,Normal,2026-03-13,2026-03-15,4,Investigate room conditions - synthetic ticket 60; <em>inspection only</em>
T-00061,North,Comfort,Normal,2026-02-15,2026-02-16,8,Investigate room conditions - synthetic ticket 61
T-00062,North,Comfort,Normal,2026-03-12,,8,Investigate room conditions - synthetic ticket 62
T-00063,North,Technology,Normal,2026-03-07,,8,Check a shared classroom device - synthetic ticket 63
T-00064,North,Comfort,High,2026-03-03,,2,Investigate room conditions - synthetic ticket 64
T-00065,North,Comfort,High,2026-03-09,,0,Investigate room conditions - synthetic ticket 65
T-00066,North,Comfort,Low,2026-03-24,,16,Investigate room conditions - synthetic ticket 66
T-00067,North,Comfort,Low,2026-03-19,,4,Investigate room conditions - synthetic ticket 67
T-00068,North,Comfort,Low,2026-02-24,2026-03-08,0,Investigate room conditions - synthetic ticket 68
T-00069,North,Comfort,Low,2026-03-16,2026-03-28,0.5,"Investigate room conditions - synthetic ticket 69; location label ""A, B"""
T-00070,North,Comfort,Low,2026-02-19,2026-03-05,16,Investigate room conditions - synthetic ticket 70
T-00071,North,Access,Low,2026-03-08,2026-03-16,,Inspect an entrance or lift - synthetic ticket 71
T-00072,North,Comfort,Low,2026-02-25,,2,Investigate room conditions - synthetic ticket 72
T-00073,North,Comfort,Low,2026-02-26,2026-03-12,0,Investigate room conditions - synthetic ticket 73
T-00074,North,Access,Low,2026-03-18,,0,Inspect an entrance or lift - synthetic ticket 74
T-00075,North,Access,Normal,2026-03-02,2026-03-16,0.5,"Inspect an entrance or lift - synthetic ticket 75
Follow-up requested"
T-00076,North,Technology,Low,2026-03-30,,1,Check a shared classroom device - synthetic ticket 76
T-00077,North,Comfort,Low,2026-02-17,2026-02-25,8,Investigate room conditions - synthetic ticket 77
T-00078,North,Comfort,Low,2026-03-23,2026-03-30,8,Investigate room conditions - synthetic ticket 78
T-00079,North,Comfort,Normal,2026-02-25,2026-03-03,1,Investigate room conditions - synthetic ticket 79
T-00080,North,Comfort,Low,2026-03-21,,8,Investigate room conditions - synthetic ticket 80
T-00081,North,Comfort,Normal,2026-03-01,,,Investigate room conditions - synthetic ticket 81
T-00082,North,Comfort,Low,2026-02-23,,16,Investigate room conditions - synthetic ticket 82
T-00083,North,Comfort,High,2026-03-18,,0.5,Investigate room conditions - synthetic ticket 83
T-00084,North,Comfort,Low,2026-02-28,2026-03-04,0,Investigate room conditions - synthetic ticket 84
T-00085,North,Comfort,Normal,2026-03-10,,16,Investigate room conditions - synthetic ticket 85
T-00086,North,Comfort,Low,2026-02-28,2026-03-11,8,"Investigate room conditions - synthetic ticket 86; location label ""A, B"""
T-00087,North,Comfort,Low,2026-02-25,2026-03-02,0,Investigate room conditions - synthetic ticket 87
T-00088,North,Access,Low,2026-03-16,,4,Inspect an entrance or lift - synthetic ticket 88
T-00089,North,Comfort,Low,2026-03-11,,8,Investigate room conditions - synthetic ticket 89
T-00090,North,Comfort,Low,2026-02-17,,,Investigate room conditions - synthetic ticket 90
T-00091,North,Comfort,Low,2026-03-14,2026-03-23,16,Investigate room conditions - synthetic ticket 91
T-00092,North,Comfort,Low,2026-02-16,,0.5,Investigate room conditions - synthetic ticket 92
T-00093,North,Access,High,2026-03-11,,8,Inspect an entrance or lift - synthetic ticket 93
T-00094,North,Access,Low,2026-02-15,2026-02-22,0.5,Inspect an entrance or lift - synthetic ticket 94
T-00095,North,Comfort,Low,2026-03-27,2026-03-30,2,Investigate room conditions - synthetic ticket 95
T-00096,North,Comfort,Normal,2026-03-27,,16,Investigate room conditions - synthetic ticket 96
T-00097,North,Comfort,Normal,2026-03-11,2026-03-20,0.5,Investigate room conditions - synthetic ticket 97
T-00098,North,Access,Low,2026-03-23,,16,Inspect an entrance or lift - synthetic ticket 98
T-00099,North,Technology,High,2026-03-24,2026-03-31,8,Check a shared classroom device - synthetic ticket 99
T-00100,North,Comfort,Low,2026-02-24,,8,Investigate room conditions - synthetic ticket 100
T-00101,North,Technology,Low,2026-03-04,2026-03-16,8,Check a shared classroom device - synthetic ticket 101
T-00102,North,Comfort,Low,2026-02-16,,4,Investigate room conditions - synthetic ticket 102
